,Airport,Name,City,Latitude,Longitude,origin_count,dest_count,Total_Flights
65,CID,Cedar Rapids,Cedar Rapids,41.884694,-91.710806,18389.0,18396.0,36785.0
66,CIU,Chippewa County International Airport,Sault Ste Marie,46.2508,-84.4724,1633.0,1635.0,3268.0
67,CLD,McClellan-Palomar Airport,Carlsbad,33.0742,-117.1648,3139.0,3138.0,6277.0
68,CLE,Cleveland Hopkins Intl,Cleveland,41.411689,-81.849794,109389.0,109388.0,218777.0
69,CLL,Easterwood Fld,College Station,30.588583,-96.363833,6372.0,6370.0,12742.0
70,CLT,Charlotte Douglas Intl,Charlotte,35.214,-80.943139,332815.0,332838.0,665653.0
71,CMH,Port Columbus Intl,Columbus,39.997972,-82.891889,76598.0,76587.0,153185.0
72,CMI,Champaign,Champaign,40.03925,-88.278056,4738.0,4737.0,9475.0
73,CMX,Houghton County Memorial Airport,Hancock,47.1684,-88.4891,2198.0,2202.0,4400.0
74,CNY,Canyonlands Field,Moab,38.755,-109.754722,727.0,727.0,1454.0
75,COD,Yellowstone Rgnl,Cody,44.520194,-109.023806,2482.0,2486.0,4968.0
76,COS,City Of Colorado Springs Muni,Colorado Springs,38.805805,-104.700778,24923.0,24923.0,49846.0
77,COU,Columbia Rgnl,Columbia,38.818094,-92.219631,2784.0,2785.0,5569.0
78,CPR,Natrona Co Intl,Casper,42.908,-106.464417,5754.0,5751.0,11505.0
79,CRP,Corpus Christi Intl,Corpus Christi,27.770361,-97.501222,14899.0,14886.0,29785.0
80,CRW,Yeager,Charleston,38.373147,-81.593189,8309.0,8311.0,16620.0
81,CSG,Columbus Metropolitan Airport,Columbus,32.5163333,-84.9388611,3745.0,3745.0,7490.0
82,CVG,Cincinnati Northern Kentucky Intl,Cincinnati,39.048836,-84.667822,58250.0,58242.0,116492.0
83,CWA,Central Wisconsin,Wassau,44.772726,-89.646635,3771.0,3770.0,7541.0
84,DAB,Daytona Beach Intl,Daytona Beach,29.179917,-81.058056,5205.0,5206.0,10411.0
85,DAL,Dallas Love Fld,Dallas,32.847111,-96.851778,182900.0,182889.0,365789.0
86,DAY,James M Cox Dayton Intl,Dayton,39.902375,-84.219375,25556.0,25551.0,51107.0
87,DBQ,Dubuque Rgnl,Dubuque IA,42.402,-90.709472,1915.0,1916.0,3831.0
88,DCA,Ronald Reagan Washington Natl,Washington,38.852083,-77.037722,230940.0,230944.0,461884.0
89,DEN,Denver Intl,Denver,39.861656,-104.673178,664532.0,664427.0,1328959.0
90,DFW,Dallas Fort Worth Intl,Dallas-Fort Worth,32.896828,-97.037997,734953.0,734956.0,1469909.0
91,DHN,Dothan Rgnl,Dothan,31.321339,-85.449628,4133.0,4133.0,8266.0
92,DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,46.7975,-102.801944,2678.0,2676.0,5354.0
93,DLG,Dillingham,Dillingham,59.044667,-158.5055,238.0,238.0,476.0
94,DLH,Duluth Intl,Duluth,46.842091,-92.193649,6290.0,6294.0,12584.0
95,DRO,Durango La Plata Co,Durango,37.151516,-107.75377,6265.0,6267.0,12532.0
96,DSM,Des Moines Intl,Des Moines,41.533972,-93.663083,26798.0,26796.0,53594.0
97,DTW,Detroit Metro Wayne Co,Detroit,42.212444,-83.353389,348364.0,348422.0,696786.0
98,DVL,Devils Lake Regional Airport,Devils Lake,48.114444,-98.908611,1510.0,1513.0,3023.0
99,EAU,Chippewa Valley Regional Airport,Eau Claire,44.8658,-91.4843,2143.0,2143.0,4286.0
100,ECP,Panama City-NW Florida Bea.,Panama City,30.3417,-85.7973,13161.0,13168.0,26329.0
101,EFD,Ellington Fld,Houston,29.607333,-95.15875,1.0,0.0,1.0
102,EGE,Eagle Co Rgnl,Vail,39.642556,-106.917694,4168.0,4167.0,8335.0
103,EKO,Elko Regional Airport,Elko,40.8249,-115.792,2192.0,2193.0,4385.0
104,ELM,Elmira Corning Rgnl,Elmira,42.159889,-76.891611,6048.0,6048.0,12096.0
105,ELP,El Paso Intl,El Paso,31.80725,-106.377583,41567.0,41565.0,83132.0
106,ENV,Wendover,Wendover,40.718694,-114.030889,1.0,0.0,1.0
107,ERI,Erie Intl Tom Ridge Fld,Erie,42.082022,-80.176217,1957.0,1958.0,3915.0
108,ESC,Delta County Airport,Escanaba,45.722778,-87.093611,1304.0,1304.0,2608.0
109,EUG,Mahlon Sweet Fld,Eugene,44.124583,-123.211972,12726.0,12721.0,25447.0
110,EVV,Evansville Regional,Evansville,38.036997,-87.532364,10205.0,10205.0,20410.0
111,EWN,Craven Co Rgnl,New Bern,35.072972,-77.042944,2130.0,2131.0,4261.0
112,EWR,Newark Liberty Intl,Newark,40.6925,-74.168667,337533.0,337652.0,675185.0
113,EYW,Key West Intl,Key West,24.556111,-81.759556,7771.0,7772.0,15543.0
114,FAI,Fairbanks Intl,Fairbanks,64.815114,-147.856267,7460.0,7462.0,14922.0
115,FAR,Hector International Airport,Fargo,46.92065,-96.8157639,15405.0,15402.0,30807.0
116,FAT,Fresno Yosemite Intl,Fresno,36.776194,-119.71814,26454.0,26457.0,52911.0
117,FAY,Fayetteville Regional Grannis Field,Fayetteville,34.9912,-78.8803,5602.0,5599.0,11201.0
118,FCA,Glacier Park Intl,Kalispell,48.310472,-114.256,6589.0,6589.0,13178.0
119,FLG,Flagstaff Pulliam Airport,Flagstaff,35.140318,-111.6692392,5499.0,5499.0,10998.0
120,FLL,Fort Lauderdale Hollywood Intl,Fort Lauderdale,26.072583,-80.15275,226860.0,226817.0,453677.0
121,FNT,Bishop International,Flint,42.965424,-83.743629,13342.0,13344.0,26686.0
122,FOE,Forbes Fld,Topeka,38.950944,-95.663611,449.0,449.0,898.0
123,FSD,Sioux Falls,Sioux Falls,43.582014,-96.741914,16926.0,16921.0,33847.0
124,FSM,Fort Smith Rgnl,Fort Smith,35.336583,-94.367444,5759.0,5758.0,11517.0
125,FWA,Fort Wayne,Fort Wayne,40.978472,-85.195139,13900.0,13904.0,27804.0
126,GCC,Gillette-Campbell County Airport,Gillette,44.3489167,-105.5393611,3572.0,3570.0,7142.0
127,GCK,Garden City Rgnl,Garden City,37.927528,-100.724417,1881.0,1880.0,3761.0
128,GEG,Spokane Intl,Spokane,47.619861,-117.533833,29596.0,29594.0,59190.0
129,GFK,Grand Forks Intl,Grand Forks,47.949256,-97.176111,3133.0,3135.0,6268.0
130,GGG,East Texas Rgnl,Longview,32.384014,-94.711486,1793.0,1794.0,3587.0
131,GJT,Grand Junction Regional,Grand Junction,39.122413,-108.526735,10082.0,10079.0,20161.0
132,GNV,Gainesville Rgnl,Gainesville,29.690056,-82.271778,7856.0,7862.0,15718.0
133,GPT,Gulfport-Biloxi,Gulfport,30.407278,-89.070111,11350.0,11348.0,22698.0
134,GRB,Austin Straubel Intl,Green Bay,44.485072,-88.129589,14072.0,14062.0,28134.0
135,GRI,Central Nebraska Regional Airport,Grand Island,40.9675,-98.3096,1687.0,1688.0,3375.0
136,GRK,Robert Gray Aaf,Killeen,31.06725,-97.828917,11120.0,11120.0,22240.0
137,GRR,Gerald R Ford Intl,Grand Rapids,42.880833,-85.522806,32498.0,32498.0,64996.0
138,GSO,Piedmont Triad,Greensboro,36.09775,-79.937306,22263.0,22246.0,44509.0
139,GSP,Greenville-Spartanburg International,Greenville,34.895556,-82.218889,21694.0,21694.0,43388.0
140,GST,Gustavus Airport,Gustavus,58.4253,-135.707,238.0,238.0,476.0
141,GTF,Great Falls Intl,Great Falls,47.482,-111.370689,5956.0,5956.0,11912.0
142,GTR,Golden Triangle Regional Airport,Columbus Mississippi,33.450333,-88.591361,3042.0,3045.0,6087.0
143,GUC,Gunnison - Crested Butte,Gunnison,38.533889,-106.933056,1385.0,1383.0,2768.0
144,GUM,Guam Intl,Agana,13.48345,144.795983,1097.0,1098.0,2195.0
145,HDN,Yampa Valley,Hayden,40.481181,-107.21766,2395.0,2395.0,4790.0
146,HIB,Chisholm Hibbing,Hibbing,47.3866,-92.838994,2606.0,2605.0,5211.0
147,HLN,Helena Rgnl,Helena,46.606806,-111.98275,4721.0,4721.0,9442.0
148,HNL,Honolulu Intl,Honolulu,21.318681,-157.922428,140558.0,140542.0,281100.0
149,HOB,Lea Co Rgnl,Hobbs,32.687528,-103.217028,1866.0,1869.0,3735.0
150,HOU,William P Hobby,Houston,29.645419,-95.278889,170468.0,170469.0,340937.0
151,HPN,Westchester Co,White Plains,41.066959,-73.707575,23013.0,23027.0,46040.0
152,HRL,Valley Intl,Harlingen,26.2285,-97.654389,10133.0,10135.0,20268.0
153,HSV,Huntsville International Airport-Carl T Jones Field,Huntsville,34.6371944,-86.7750556,15314.0,15313.0,30627.0
154,HYA,Barnstable Muni Boardman Polando Fld,Barnstable,41.669336,-70.280356,280.0,280.0,560.0
155,HYS,Hays Regional Airport,Hays,38.8422,-99.2732,1514.0,1515.0,3029.0
156,IAD,Washington Dulles Intl,Washington,38.944533,-77.455811,129838.0,129697.0,259535.0
157,IAG,Niagara Falls Intl,Niagara Falls,43.107333,-78.946194,742.0,742.0,1484.0
158,IAH,George Bush Intercontinental,Houston,29.984433,-95.341442,471135.0,471237.0,942372.0
159,ICT,Wichita Mid Continent,Wichita,37.649944,-97.433056,25858.0,25854.0,51712.0
160,IDA,Idaho Falls Rgnl,Idaho Falls,43.514556,-112.07075,7921.0,7925.0,15846.0
161,ILG,New Castle,Wilmington,39.678722,-75.606528,806.0,809.0,1615.0
162,ILM,Wilmington Intl,Wilmington,34.270615,-77.902569,6963.0,6965.0,13928.0
163,IMT,Ford Airport,Iron Mountain,45.8183611,-88.1145556,2034.0,2034.0,4068.0
164,IND,Indianapolis Intl,Indianapolis,39.717331,-86.294383,83302.0,83301.0,166603.0
165,INL,Falls Intl,International Falls,48.566186,-93.403067,1901.0,1901.0,3802.0
166,ISN,Sloulin Fld Intl,Williston,48.177939,-103.642347,7223.0,7239.0,14462.0
167,ISP,Long Island Mac Arthur,Islip,40.79525,-73.100222,14423.0,14423.0,28846.0
168,ITH,Ithaca Tompkins Rgnl,Ithaca,42.491028,-76.458444,937.0,940.0,1877.0
169,ITO,Hilo Intl,Hilo,19.721375,-155.048469,18281.0,18446.0,36727.0
170,JAC,Jackson Hole Airport,Jacksn Hole,43.60733333,-110.73775,11165.0,11161.0,22326.0
171,JAN,Jackson Evers Intl,Jackson,32.311167,-90.075889,21044.0,21042.0,42086.0
172,JAX,Jacksonville Intl,Jacksonville,30.494056,-81.687861,60395.0,60398.0,120793.0
173,JFK,John F Kennedy Intl,New York,40.639751,-73.778925,300425.0,300370.0,600795.0
174,JLN,Joplin Rgnl,Joplin,37.151814,-94.498269,1869.0,1867.0,3736.0
175,JMS,Jamestown Regional Airport,Jamestown,46.9297,-98.6782,2344.0,2349.0,4693.0
176,JNU,Juneau Intl,Juneau,58.354972,-134.576278,13298.0,13300.0,26598.0
177,KOA,Kona Intl At Keahole,Kona,19.738767,-156.045631,35469.0,35300.0,70769.0
178,KTN,Ketchikan Intl,Ketchikan,55.355556,-131.71375,7367.0,7369.0,14736.0
179,LAN,Capital City,Lansing,42.7787,-84.587357,6282.0,6282.0,12564.0
180,LAR,Laramie Regional Airport,Laramie,41.3121,-105.675,1988.0,1989.0,3977.0
181,LAS,Mc Carran Intl,Las Vegas,36.080056,-115.15225,433610.0,433648.0,867258.0
182,LAW,Lawton-Fort Sill Regional Airport,Lawton,34.5677144,-98.4166367,4111.0,4111.0,8222.0
183,LAX,Los Angeles Intl,Los Angeles,33.942536,-118.408075,647316.0,647348.0,1294664.0
184,LBB,Lubbock Preston Smith Intl,Lubbock,33.663639,-101.822778,16145.0,16142.0,32287.0
185,LBE,Arnold Palmer Regional Airport,Latrobe,40.2759,-79.4048,2444.0,2443.0,4887.0
186,LCH,Lake Charles Rgnl,Lake Charles,30.126112,-93.223335,5364.0,5363.0,10727.0
187,LEX,Blue Grass,Lexington KY,38.0365,-84.605889,17500.0,17506.0,35006.0
188,LFT,Lafayette Rgnl,Lafayette,30.205278,-91.987611,15083.0,15081.0,30164.0
189,LGA,La Guardia,New York,40.777245,-73.872608,311730.0,311689.0,623419.0
190,LGB,Long Beach,Long Beach,33.817722,-118.151611,32260.0,32264.0,64524.0
191,LIH,Lihue,Lihue,21.975983,-159.338958,34417.0,34422.0,68839.0
192,LIT,Adams Fld,Little Rock,34.729444,-92.224306,33783.0,33774.0,67557.0
193,LMT,Klamath Falls Airport,Klamath Falls,42.1561,-121.733,310.0,308.0,618.0
194,LNK,Lincoln,Lincoln,40.850971,-96.75925,8422.0,8424.0,16846.0
195,LRD,Laredo Intl,Laredo,27.54375,-99.461556,6926.0,6929.0,13855.0
196,LSE,La Crosse Municipal,La Crosse,43.878986,-91.256711,3742.0,3742.0,7484.0
197,LWS,Lewiston Nez Perce Co,Lewiston,46.3745,-117.015389,2005.0,2004.0,4009.0
198,MAF,Midland Intl,Midland,31.942528,-102.201914,23929.0,23931.0,47860.0
199,MBS,Mbs Intl,Saginaw,43.532913,-84.079647,5333.0,5332.0,10665.0
200,MCI,Kansas City Intl,Kansas City,39.297606,-94.713905,130578.0,130572.0,261150.0
201,MCN,Middle Georgia Rgnl,Macon,32.69285,-83.649211,1.0,0.0,1.0
202,MCO,Orlando Intl,Orlando,28.429394,-81.308994,356161.0,356166.0,712327.0
203,MDT,Harrisburg Intl,Harrisburg,40.193494,-76.763403,10131.0,10129.0,20260.0
204,MDW,Chicago Midway Intl,Chicago,41.785972,-87.752417,264813.0,264797.0,529610.0
205,MEI,Key Field,Meridian,32.332624,-88.751868,2133.0,2134.0,4267.0
206,MEM,Memphis Intl,Memphis,35.042417,-89.976667,45456.0,45450.0,90906.0
207,MFE,Mc Allen Miller Intl,Mcallen,26.175833,-98.238611,10320.0,10314.0,20634.0
208,MFR,Rogue Valley Intl Medford,Medford,42.374228,-122.8735,8804.0,8797.0,17601.0
209,MGM,Montgomery Regional Airport ,MONTGOMERY,32.3006389,-86.3939722,9472.0,9469.0,18941.0
210,MHK,Manhattan Reigonal,Manhattan,39.140972,-96.670833,3568.0,3568.0,7136.0
211,MHT,Manchester Regional Airport,Manchester NH,42.932556,-71.435667,20335.0,20339.0,40674.0
212,MIA,Miami Intl,Miami,25.79325,-80.290556,227181.0,227175.0,454356.0
213,MKE,General Mitchell Intl,Milwaukee,42.947222,-87.896583,98696.0,98707.0,197403.0
214,MKG,Muskegon County Airport,Muskegon,43.1695,-86.2382,2141.0,2141.0,4282.0
215,MLB,Melbourne Intl,Melbourne,28.102753,-80.645258,4350.0,4351.0,8701.0
216,MLI,Quad City Intl,Moline,41.448528,-90.507539,11210.0,11213.0,22423.0
217,MLU,Monroe Rgnl,Monroe,32.510864,-92.037689,9590.0,9592.0,19182.0
218,MMH,Mammoth Yosemite Airport,Mammoth Lakes,37.624049,-118.837772,514.0,515.0,1029.0
219,MOB,Mobile Rgnl,Mobile,30.691231,-88.242814,15913.0,15910.0,31823.0
220,MOD,Modesto City Co Harry Sham,Modesto,37.625817,-120.954422,465.0,464.0,929.0
221,MOT,Minot Intl,Minot,48.259378,-101.280333,5309.0,5308.0,10617.0
222,MQT,Sawyer International Airport,Marquette,46.353611,-87.395278,1341.0,1342.0,2683.0
223,MRY,Monterey Peninsula,Monterey,36.587,-121.842944,10391.0,10394.0,20785.0
224,MSN,Dane Co Rgnl Truax Fld,Madison,43.139858,-89.337514,28125.0,28130.0,56255.0
225,MSO,Missoula Intl,Missoula,46.916306,-114.090556,8362.0,8360.0,16722.0
226,MSP,Minneapolis St Paul Intl,Minneapolis,44.881956,-93.221767,358153.0,358101.0,716254.0
227,MSY,Louis Armstrong New Orleans Intl,New Orleans,29.993389,-90.258028,126466.0,126466.0,252932.0
228,MTJ,Montrose Regional Airport,Montrose CO,38.509794,-107.894242,3077.0,3076.0,6153.0
229,MVY,Martha\\'s Vineyard,Vineyard Haven MA,41.391667,-70.615278,625.0,625.0,1250.0
230,MYR,Myrtle Beach Intl,Myrtle Beach,33.67975,-78.928333,12809.0,12805.0,25614.0
231,OAJ,Albert J Ellis,Jacksonville NC,34.829164,-77.612139,3918.0,3921.0,7839.0
232,OAK,Metropolitan Oakland Intl,Oakland,37.721278,-122.220722,138416.0,138399.0,276815.0
233,OGG,Kahului,Kahului,20.89865,-156.430458,67726.0,67736.0,135462.0
234,OKC,Will Rogers World,Oklahoma City,35.393089,-97.600733,54203.0,54211.0,108414.0
235,OMA,Eppley Afld,Omaha,41.303167,-95.894069,55930.0,55943.0,111873.0
236,OME,Nome,Nome,64.512203,-165.445247,2170.0,2170.0,4340.0
237,ONT,Ontario Intl,Ontario,34.056,-117.601194,59849.0,59848.0,119697.0
238,ORD,Chicago Ohare Intl,Chicago,41.978603,-87.904842,844654.0,844780.0,1689434.0
239,ORF,Norfolk Intl,Norfolk,36.894611,-76.201222,33181.0,33176.0,66357.0
240,ORH,Worcester Regional Airport,Worcester,42.2673,-71.8757,2177.0,2191.0,4368.0
241,OTH,Southwest Oregon Regional Airport,North Bend,43.4171,-124.246,987.0,987.0,1974.0
242,OTZ,Ralph Wien Mem,Kotzebue,66.884678,-162.59855,2168.0,2168.0,4336.0
243,PAH,Barkley Regional Airport,PADUCAH,37.0602875,-88.7729583,2142.0,2142.0,4284.0
244,PBG,Plattsburgh Intl,Plattsburgh,44.650944,-73.468139,665.0,666.0,1331.0
245,PBI,Palm Beach Intl,West Palm Beach,26.683161,-80.095589,71121.0,71123.0,142244.0
246,PDX,Portland Intl,Portland,45.588722,-122.5975,163639.0,163642.0,327281.0
247,PGD,Charlotte County-Punta Gorda Airport,Punta Gorda,26.919722,-81.990556,83.0,83.0,166.0
248,PHF,Newport News Williamsburg Intl,Newport News,37.131894,-76.492989,4568.0,4569.0,9137.0
249,PHL,Philadelphia Intl,Philadelphia,39.871944,-75.241139,218114.0,218095.0,436209.0
250,PHX,Phoenix Sky Harbor Intl,Phoenix,33.434278,-112.011583,479337.0,479374.0,958711.0
251,PIA,Peoria Regional,Peoria,40.664203,-89.693258,12123.0,12126.0,24249.0
252,PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,31.4671,-89.3371,1347.0,1348.0,2695.0
253,PIH,Pocatello Regional Airport,Pocatello,42.9098,-112.596,2745.0,2745.0,5490.0
254,PIT,Pittsburgh Intl,Pittsburgh,40.491467,-80.232872,79836.0,79829.0,159665.0
255,PLN,Pellston Regional Airport of Emmet County Airport,Pellston,45.5709,-84.7967,2345.0,2346.0,4691.0
256,PNS,Pensacola Rgnl,Pensacola,30.473425,-87.186611,21173.0,21169.0,42342.0
257,PPG,Pago Pago Intl,Pago Pago,-14.331,-170.7105,349.0,349.0,698.0
258,PSC,Tri Cities Airport,Pasco,46.2647,-119.119,9383.0,9383.0,18766.0
259,PSE,Mercedita,Ponce,18.008306,-66.563028,2480.0,2485.0,4965.0
260,PSG,Petersburg James A. Johnson,Petersburg,56.801667,-132.945278,2180.0,2180.0,4360.0
261,PSP,Palm Springs Intl,Palm Springs,33.829667,-116.506694,31257.0,31264.0,62521.0
262,PUB,Pueblo Memorial,Pueblo,38.289085,-104.496572,736.0,735.0,1471.0
263,PVD,Theodore Francis Green State,Providence,41.732581,-71.420383,36995.0,36997.0,73992.0
264,PWM,Portland Intl Jetport,Portland,43.646161,-70.309281,16691.0,16692.0,33383.0
265,RAP,Rapid City Regional Airport,Rapid City,44.045278,-103.057222,10273.0,10277.0,20550.0
266,RDD,Redding Muni,Redding,40.509,-122.293389,2873.0,2873.0,5746.0
267,RDM,Roberts Fld,Redmond-Bend,44.254066,-121.149964,8238.0,8237.0,16475.0
268,RDU,Raleigh Durham Intl,Raleigh-durham,35.877639,-78.787472,108676.0,108679.0,217355.0
269,RHI,Rhinelander Oneida County Airport,Rhinelander,45.6312,-89.4675,3128.0,3129.0,6257.0
270,RIC,Richmond Intl,Richmond,37.505167,-77.319667,50315.0,50313.0,100628.0
271,RKS,Rock Springs Sweetwater County Airport,Rock Springs,41.5942,-109.065,3124.0,3125.0,6249.0
272,RNO,Reno Tahoe Intl,Reno,39.499108,-119.768108,43676.0,43679.0,87355.0
273,ROA,Roanoke Regional,Roanoke VA,37.325472,-79.975417,7207.0,7214.0,14421.0
274,ROC,Greater Rochester Intl,Rochester,43.118866,-77.672389,23935.0,23933.0,47868.0
275,ROW,Roswell Intl Air Center,Roswell,33.301556,-104.530556,2551.0,2550.0,5101.0
276,RST,Rochester,Rochester,43.908283,-92.500014,5079.0,5080.0,10159.0
277,RSW,Southwest Florida Intl,Fort Myers,26.536167,-81.755167,85007.0,85017.0,170024.0
278,SAF,Santa Fe Muni,Santa Fe,35.617108,-106.089422,4804.0,4806.0,9610.0
279,SAN,San Diego Intl,San Diego,32.733556,-117.189667,231330.0,231335.0,462665.0
280,SAT,San Antonio Intl,San Antonio,29.533694,-98.469778,97192.0,97187.0,194379.0
281,SAV,Savannah Hilton Head Intl,Savannah,32.127583,-81.202139,24711.0,24708.0,49419.0
282,SBA,Santa Barbara Muni,Santa Barbara,34.426211,-119.840372,20883.0,20882.0,41765.0
283,SBN,South Bend Rgnl,South Bend,41.708661,-86.31725,15101.0,15096.0,30197.0
284,SBP,San Luis County Regional Airport,San Luis Obispo,35.2368,-120.642,11351.0,11351.0,22702.0
285,SCC,Deadhorse,Deadhorse,70.19475,-148.465167,2704.0,2704.0,5408.0
286,SCE,University Park Airport,State College Pennsylvania,40.849278,-77.848694,2439.0,2449.0,4888.0
